Month,Air Arrivals,Sea Landed,Cruise Arrivals,Total Arrivals
03/01/2022,151148,11382,464690,627220
04/01/2022,147099,10213,431409,588721
05/01/2022,129971,14787,361837,506595
06/01/2022,144604,20093,402709,567406
07/01/2022,161883,20777,500679,683339
08/01/2022,119179,15449,485300,619928
09/01/2022,70053,8174,389127,467354
10/01/2022,88036,5761,479123,572920
11/01/2022,121495,7601,601199,730295
12/01/2022,158253,10595,735192,904040
